Hyperlink:PI,Insert Hyperlink,1,Hyperlink
Hyperlink:PI,Modify Hyperlink,1,Hyperlink
Import,Preferences,1,Import
Import,Project Captions and Closed Captions,1,Import
Import,Styles,1,Import
Import,XML,1,Import
Inserting Character,Character Double Click Inserted,%STRING_VALUE%,Characters
Inserting Character,Character Single Click Inserted,%STRING_VALUE%,Characters
Inserting media,Media Double Click Inserted,%STRING_VALUE%,Adobe_Stock
Inserting Media,Media Single Click Inserted,%STRING_VALUE%,Adobe_Stock
Interactions,---08_Glossary.wdgt,%STRING_VALUE%,Learning_Interactions
Interactions,00_Infosemantics_CpExtra.wdgt,%STRING_VALUE%,Learning_Interactions
Interactions,00_OunceGlossary.wdgt,%STRING_VALUE%,Learning_Interactions
Interactions,08_Glossary-old.wdgt,%STRING_VALUE%,Learning_Interactions
Interactions,08_Glossary_original.wdgt,%STRING_VALUE%,Learning_Interactions
Interactions,08_Glossaryo.wdgt,%STRING_VALUE%,Learning_Interactions
Interactions,Digital-Timer.wdgt,%STRING_VALUE%,Learning_Interactions
Interactions,Insert Interaction,1,Learning_Interactions
Interactions,Insert Interaction,%STRING_VALUE%,Learning_Interactions
Interactions,ld_radiobutton.wdgt,%STRING_VALUE%,Learning_Interactions
Interactions,YoutubeNEW.wdgt,%STRING_VALUE%,Learning_Interactions
LMS,LMS Name,%STRING_VALUE%,LMS
LMS,LMS Type,%STRING_VALUE%,LMS
LMS:Acrobat,Set Acrobat LMS Parameter,%STRING_VALUE%,LMS
LMS:AICC,Set AICC Parameter,%STRING_VALUE%,LMS
LMS:Alternate Reporting:Internal Server,Configure Alternate Report Internla Server,1,LMS
LMS:Internal Server,Set Internal Server LMS Parameter,%STRING_VALUE%,LMS
LMS:SCORM 1.2,Set SCORM 1.2 Parameter,%STRING_VALUE%,LMS
LMS:SCORM 2004,Set SCORM 2004 Parameter,%STRING_VALUE%,LMS
LMS:TINCAN,Set TINCAN Parameter,%STRING_VALUE%,LMS
My Asset,My Asset Dialog opened,%STRING_VALUE%,Assets
New Project,CPVC,%STRING_VALUE%,Project_Creation
Object Effects,Effect Added,1,Effects
Object Effects,Effect Added,%STRING_VALUE%,Effects
Object Effects,Effect Removed,1,Effects
Object Grouping,Timeline,%STRING_VALUE%,Grouping
Object Grouping:PI:Size and Position,Group Repositioned,%STRING_VALUE%,Grouping
Object Grouping:PI:Size and Position,Group Resized,%STRING_VALUE%,Grouping
Object Grouping:Stage,Add Item to Group,%STRING_VALUE%,Grouping
Object Grouping:Stage,Group Constrained/Unconstrained,1,Grouping
Object Grouping:Stage,Group Created,%STRING_VALUE%,Grouping
Object Grouping:Stage,Group Deleted,%STRING_VALUE%,Grouping
Object Grouping:Stage,Group hidden/unhidden,1,Grouping
Object Grouping:Stage,Group locked/unlocked,1,Grouping
Object Grouping:Stage,Group Merged,%STRING_VALUE%,Grouping
Object Grouping:Stage,Group Pasted,1,Grouping
Object Grouping:Stage,Group Rotated,%STRING_VALUE%,Grouping
Object Grouping:Stage,Group ungrouped,%STRING_VALUE%,Grouping
Object Grouping:Stage,Item Removed from Group,%STRING_VALUE%,Grouping
Object Grouping:Stage:Size and Position,Group Repositioned,%STRING_VALUE%,Grouping
Object Grouping:Stage:Size and Position,Group Resized,%STRING_VALUE%,Grouping
Object Grouping:Timeline,Group Appear After Changed,1,Grouping
Object Grouping:Timeline,Group Hide/Unhide,1,Grouping
Object Grouping:Timeline,Group Locked,1,Grouping
Object Grouping:Timeline,Group Z-Order Changed,1,Grouping
Object States,Add State,%STRING_VALUE%,States
Object States,Delete State ,%STRING_VALUE%,States
Object States,Delete State,%STRING_VALUE%,States
Object States,Duplicate State,%STRING_VALUE%,States
Object States,Enter Advanced State View,%STRING_VALUE%,States
Object States,Enter In-Place State Edit,1,States
Object States,Exit Advanced State View,1,States
Object States,Exit In-Place State Edit,1,States
Object States,Rename State,%STRING_VALUE%,States
Object States,Reset State,%STRING_VALUE%,States
Object States,Set As Default State ,%STRING_VALUE%,States
Object States,Set Change State Action,%STRING_VALUE%,States
Objects,Toolbar,%STRING_VALUE%,SVG
Opening Project,Project Double Click Opened,%STRING_VALUE%,Open Project
Opening Project,Project Single Click Opened,%STRING_VALUE%,Open Project
PPT:Edit,Edit PPT,1,PPT
Preview:SCORM Cloud,LMS Preview launched,%STRING_VALUE%,Preview
Project Corruption,Project Zip Corruption,%STRING_VALUE%,Project_Corruption
Project Creation,Blank Project,1,Project_Creation
Project Creation,Image Slideshow,1,Project_Creation
Project Creation,Project From PowerPoint,1,Project_Creation
Project Creation,Project From Template,1,Project_Creation
Project Creation,Project Template,1,Project_Creation
Project Creation,Responsive Project,1,Project_Creation
Project Creation,RTL project creation,1,Project_Creation
Project Import,Draft Project,1,Project_Draft_Import
Publish,Publish Type,%STRING_VALUE%,Publish
Publish,Publish Type,%STRING_VALUE%,Publish
Publish,Publish Type,%STRING_VALUE%,Publish
Publish,Publish Type,%STRING_VALUE%,Publish
Publish,Publish Type,%STRING_VALUE%,Publish
Publish,Publish Type,%STRING_VALUE%,Publish
Publish,Publish Type,%STRING_VALUE%,Publish
Publish,Publish Type,%STRING_VALUE%,Publish
Publish,Responsive project publish,%STRING_VALUE%,Publish
Publish:Acap Publish,Prime Window launch,1,Publish
Publish:Acap Publish,Publish to ACAP,1,Publish
Publish:Email Publish,Email Publish type,%STRING_VALUE%,Publish
Publish:EXEPublish,Icon,%STRING_VALUE%,Publish
Publish:FTP Publish,FTP publish type,%STRING_VALUE%,Publish
Publish:HTML5 Publish,HTML5 Publish,1,Publish
Publish:Mac App Publish,Mac App Publish Settings,%STRING_VALUE%,Publish
Publish:MP4 Publish,MP4 Publish Preset,%STRING_VALUE%,Publish
Publish:MP4 Publish,MP4 Publish Settings,%STRING_VALUE%,Publish
Publish:PDF Publish,PDF Publish,1,Publish
Publish:Publish To Connect,Publish To Connect,1,Publish
Publish:Publish To Word,Publish To word,%STRING_VALUE%,Publish
Publish:Publish To Youtube,Publisht To Youtube,1,Publish
Publish:Swf Publish,SWF Publish,1,Publish
Question Slides:FilmStrip,Knowledge Check,%STRING_VALUE%,Question_Slides
Question Slides:FilmStrip,Question Type,%STRING_VALUE%,Question_Slides
Question Slides:Question pool,Question type,%STRING_VALUE%,Question_Slides
Responsive:Align Center,Horizontal Align Center,%STRING_VALUE%,Responsive
Responsive:Align Center,Vertical Align Center,%STRING_VALUE%,Responsive
Responsive:Break Point,Add breakPoint,%STRING_VALUE%,Responsive
Responsive:Break Point,Delete Break Point,%STRING_VALUE%,Responsive
Responsive:Break Point,Modify Break Point Width,%STRING_VALUE%,Responsive
Responsive:Break Point,Modify Breakpoint Name,%STRING_VALUE%,Responsive
Responsive:Break Point,Modify Device Height,%STRING_VALUE%,Responsive
Responsive:Position,% Relative,%STRING_VALUE%,Responsive
Responsive:Position:Links,Smart Position in Responsive,%STRING_VALUE%,Responsive
Roundtripping,Flash Roundtripping,1,Roundtripping
Roundtripping,PSD Roundtripping,1,Roundtripping
Roundtripping,Soundbooth Roundtripping,1,Roundtripping
Slide Video,Import,1,Import Video
Stage,Insert SVG,%STRING_VALUE%,SVG
Stock,Stock Dialog Launched,1,Adobe_Stock
SVG,Edit SVG,%STRING_VALUE%,SVG
SVG,Replace SVG,1,SVG
Text To Audio,NeoSpeech,%STRING_VALUE%,TTS
Text To Audio,Speech Agents,%STRING_VALUE%,TTS
Themes,Apply Custom Theme,%STRING_VALUE%,Themes
Themes,Insert Master Slide,%STRING_VALUE%,Themes
Themes,Modify Master Slide,1,Themes
Themes,Reset Master Slide,1,Themes
Themes,Themes Panel opened,%STRING_VALUE%,Themes
Themes,Themes Skin Dialog,%STRING_VALUE%,Themes
Themes:Apply Theme,Apply Custom Theme,%STRING_VALUE%,Themes
Themes:Apply Theme,Apply Theme From Panel,%STRING_VALUE%,Themes
Themes:Apply Theme,Browse Themes,1,Themes
Themes:Object Styles,OSM Launched,1,Themes
Themes:Objects,Insert Content Placeholder,1,Themes
Themes:Save Theme,Save As Theme,1,Themes
Themes:Save Theme,Save Theme,1,Themes
Themes:Save Theme,Set As Default Theme,%STRING_VALUE%,Themes
Themes:Theme Color,Apply Theme Color Scheme,%STRING_VALUE%,Themes
Themes:Theme Color,Create Theme Color Scheme,%STRING_VALUE%,Themes
Themes:Theme Color,Show Theme Colors,1,Themes
TOC,TOC Created,1,TOC
ToolBar,AddSlidesTool,%STRING_VALUE%,ToolBar_AddSlides
ToolBar,AddSlidesTool,1,ToolBar_AddSlides
ToolBar,AdobeStockTool,1,Adobe_Stock
ToolBar,CommunityHelpTool,1,Community
ToolBar,InteractionsTool,%STRING_VALUE%,ToolBar_Interaction_Objects
ToolBar,LibraryTool,1,Library
ToolBar,MarketTool,%STRING_VALUE%,elearning_brothers
ToolBar,MediaTool,%STRING_VALUE%,ToolBar_Media_Objects
ToolBar,ObjectsTool,1,ToolBar_Objects
ToolBar,ObjectsTool,%STRING_VALUE%,ToolBar_Objects
ToolBar,PreviewTool,1,Preview
ToolBar,PreviewTool,%STRING_VALUE%,Preview
ToolBar,PropertiesTool,1,Properties
ToolBar,PublishTool,%STRING_VALUE%,Publish
ToolBar,PublishTool,1,Publish
ToolBar,RecordTool,1,Audio
ToolBar,SaveTool,1,ToolBar_Save
ToolBar,ShapesTool,%STRING_VALUE%,ToolBar_Smartshapes
ToolBar,TextTool,%STRING_VALUE%,ToolBar_Text_Objects
Variables,Add GeoLocation Variable,1,Geolocation
Variables,GeoLocation Map Dialog Open,1,Geolocation
Widget,Widget Inserted,1,Widget
