Interactions,ld_radiobutton.wdgt,1
Interactions,YoutubeNEW.wdgt,1
License,Education license,0
License,ELS license,0
License,Pointproduct license,0
License,Prerelease license,0
License,Subscription Pointproduct license,0
License,Try and buy license,0
License,Volume license,0
LMS,LMS Name,1
LMS,LMS Type,1
LMS:Acrobat,Set Acrobat LMS Parameter,1
LMS:AICC,Set AICC Parameter,1
LMS:Alternate Reporting:Internal Server,Configure Alternate Report Internla Server,1
LMS:Internal Server,Set Internal Server LMS Parameter,1
LMS:SCORM 1.2,Set SCORM 1.2 Parameter,1
LMS:SCORM 2004,Set SCORM 2004 Parameter,1
LMS:TINCAN,Set TINCAN Parameter,1
Margins,Bottom Margin,0
Margins,Left Margin,0
Margins,Right Margin,0
Margins,Top Margin,0
Media,Media Panel opened,1
My Asset,My Asset Dialog opened,1
New Project,CPVC,1
Object Effects,Effect Added,1
Object Effects,Effect Removed,1
Object Grouping,Timeline,1
Object Grouping:PI:Size and Position,Group Repositioned,1
Object Grouping:PI:Size and Position,Group Resized,1
Object Grouping:Stage,Add Item to Group,1
Object Grouping:Stage,Group Constrained/Unconstrained,1
Object Grouping:Stage,Group Created,1
Object Grouping:Stage,Group Deleted,1
Object Grouping:Stage,Group hidden/unhidden,1
Object Grouping:Stage,Group locked/unlocked,1
Object Grouping:Stage,Group Merged,1
Object Grouping:Stage,Group Pasted,1
Object Grouping:Stage,Group Rotated,1
Object Grouping:Stage,Group ungrouped,1
Object Grouping:Stage,Item Removed from Group,1
Object Grouping:Stage:Size and Position,Group Repositioned,1
Object Grouping:Stage:Size and Position,Group Resized,1
Object Grouping:Timeline,Group Appear After Changed,1
Object Grouping:Timeline,Group Hide/Unhide,1
Object Grouping:Timeline,Group Locked,1
Object Grouping:Timeline,Group Z-Order Changed,1
Object States,Add State,1
Object States,Delete State,1
Object States,Delete State ,1
Object States,Duplicate State,1
Object States,Enter Advanced State View,1
Object States,Enter In-Place State Edit,1
Object States,Exit Advanced State View,1
Object States,Exit In-Place State Edit,1
Object States,Rename State,1
Object States,Reset State,1
Object States,Set As Default State ,1
Object States,Set Change State Action,1
Objects,Toolbar,1
Opening Project,Project Double Click Opened,1
Opening Project,Project Single Click Opened,1
PPT:Edit,Edit PPT,1
Preview:SCORM Cloud,LMS Preview launched,1
Project Corruption,Project Zip Corruption,1
Project Creation,Blank Project,1
Project Creation,Image Slideshow,1
Project Creation,Project From PowerPoint,1
Project Creation,Project From Template,1
Project Creation,Project Template,1
Project Creation,Responsive Project,1
Project Creation,RTL project creation,1
Project Import,Draft Project,1
Project Information,Number of Slides,1
Project Information,Project Duration in Secs,1
Project Information,Project Size,1
Project Resize,Larger,0
Project Resize,Smaller,0
Projects,Projects Panel opened,0
Publish,Flash Player Version,0
Publish,Publish Type,1
Publish,Responsive project publish,1
Publish,Skin Name,0
Publish:Acap Publish,Prime Window launch,1
Publish:Acap Publish,Publish to ACAP,1
Publish:Email Publish,Email Publish type,1
Publish:EXEPublish,Icon,1
Publish:FTP Publish,FTP publish type,1
Publish:HTML5 Publish,HTML5 Publish,1
Publish:Mac App Publish,Mac App Publish Settings,1
Publish:MP4 Publish,MP4 Publish Preset,1
Publish:MP4 Publish,MP4 Publish Settings,1
Publish:PDF Publish,PDF Publish,1
Publish:Phone Gap,Platform,1
Publish:Publish Setting,Geolocation,1
Publish:Publish Setting,Mobile Gestures,1
Publish:Publish To Connect,Publish To Connect,1
Publish:Publish To Word,Publish To word,1
Publish:Publish To Youtube,Publisht To Youtube,1
Publish:Settings,Accessibility,1
Publish:Settings,Branch Aware,0
Publish:Settings,Preloader Percentage,0
Publish:Settings,Preoader Used,0
Publish:Settings,Publish Settings,0
Publish:Settings,Submit All,0
Publish:Swf Publish,Flash Player Version,0
Publish:Swf Publish,Force Republish,0
Publish:Swf Publish,SWF Publish,1
Publish:Video Capture:Settings,Video Publish Settings,0
Question Slides:FilmStrip,Knowledge Check,1
Question Slides:FilmStrip,Question Type,1
Question Slides:Question pool,Question type,1
Reflection,Apply to all,0
Reflection,Disabled,0
Reflection,Enabled,0
Reflection,Preset,0
Responsive:Align Center,Horizontal Align Center,1
Responsive:Align Center,Vertical Align Center,1
Responsive:Break Point,Add breakPoint,1
Responsive:Break Point,Delete Break Point,1
Responsive:Break Point,Modify Break Point Width,1
Responsive:Break Point,Modify Breakpoint Name,1
Responsive:Break Point,Modify Device Height,1
Responsive:Position,% Relative,1
Responsive:Position:Links,Smart Position in Responsive,1
Rotation,PI Rotation Hottext,0
Rotation,Rotate Left,0
Rotation,Rotate Right,0
Roundtripping,Flash Roundtripping,1
Roundtripping,PSD Roundtripping,1
Roundtripping,Soundbooth Roundtripping,1
Shadow,Apply to all,0
Shadow,Disable,0
Shadow,Disabled,0
Shadow,Enabled,0
Shadow,Modify,0
Shadow,Preset,0
Shared Review,Internal Server,0
Slide Video,Import,1
Spell Check,Dialog Opened,0
Stage,Insert SVG,1
Stock,Stock Dialog Launched,1
SVG,Edit SVG,1
SVG,Replace SVG,1
TalkToAdobe,AutoLaunchedDialog,0
TalkToAdobe,UserCheckedSendUsageData,0
TalkToAdobe,UserDisabledAutoLaunch,0
TalkToAdobe,UserEnabledAutoLaunch,0
TalkToAdobe,UserLaunchedDialog,0
TalkToAdobe,UserUncheckedSendUsageData,0
Text To Audio,NeoSpeech,1
Text To Audio,Speech Agents,1
Themes,Apply Custom Theme,1
Themes,Insert Master Slide,1
